user,assistant
"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?","This can be a difficult situation. Typically, only animals that are specifically trains to accomplish a specific task are legally protected as Service Animsls. Even though that can be very helpful, emotional support animals are not generally protected in the same way.You might not be able to make your landlord accommodate you. If possible, you may want to consider a different apparent that is more animal friendly."
"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?","At present, the American Disability Association ADA only allows protection and guiltiness for Service Animals, which is fall under a separate distinction from Emotional Support Animals. Emotional support animals are untrained animals typically pets or other domestic animals that provide wonderful services to their owners, and there are many benefits to having one.Service animals who are trained to provide specific services for an individual with limitations that make them fall under what the ADA defines as ""disabled"" are protected under specific laws, and must be accommodated in public places where the human they serve is present. While it may be beneficial to request that the therapist who ""prescribed"" the dog to you write a letter to the apartment manager, it sounds like the manager is aware of ADA guidelines, and the simplest course of action may be to find an alternative residence, if that is a plausible option."
"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?","Agree with the apartment manager's viewpoint that your disability is not a physical limitation.Ask the manager if they'd accept an explanatory letter from a therapist who is licensed to diagnosis emotional disabilities.If the answer is yes, then find a therapist who's willing to cooperate with what you need from them and find out this particular therapist's terms of working with you to compose such a letter.If the manager tells you ""no"", then find out who is above this person or entity and find out how to formally introduce your request to the board or apartment owner, or whoever actually is the legal owner of the building."
"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?","This is tricky because there are different types of emotional support dogs. The ones that are officially trained actually go through months of training and then are paired with someone for whom they perform specific tasks.You may benefit from looking at the blog written by Valerie Parrott, who has an emotional support dog due to severe anxiety and panic. I will warn you that her blog is very blunt, but she is honest and she has gone through this process"
My mother is combative with me when I say I don't want to talk with her about my depression. She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me. How can I get her to understand?,"Do you live with your mom and have constant interaction with her? It is your choice who you share things with. You can set some clear boundaries. She can either talk about the interest you feel comfortable or you can reduce, eliminate conversations with her. These arguments are most likely not good for your depression. Here is a video regarding boundaries. Boundaries"
My mother is combative with me when I say I don't want to talk with her about my depression. She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me. How can I get her to understand?,"Your situation sounds extremely frustrating.You're doing the right move to state you don't want to discuss your depression with her.I guess you could ask if she would like to know your reason to not speak w her about your depression. If you feel she can handle a reasonable conversation, and you would like to tell her your true reason, then schedule this or bring up the topic at a neutral time, not in the middle of an argument.Having an unsupportive mom is difficult enough to accept. You may feel greater success and peach of mind to meditate on accepting her lack of understanding than to engage in arguing when she starts this."
"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.",I truly understand what you are saying. I wanted to share this blog post about this very concern! Are you finally ready to be free
My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,"Changing scenery often helps in recovery. Could you move with her? Moving could help her depression also. Is she also open to therapy? Being supportive is one way to help her, and allowing her the space and ways to heal that suits her best."
My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,"You should start by speaking with her about what has her so down. Have their been some significant events in her life that have affected her? Have their been significant events in your relationship that can be affecting you both? If she just stopped drinking, she may be struggling to finding an alternative and healthier behavior. This is something the two of you can explore together. Also, if need be perhaps she can speak to a therapist to discuss her feelings about quitting alcohol. It sounds like you really care and right now she could use all the support she can get despite her pushing you away."
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one. How can I overcome this pain and learn to be happy alone?,"The power of acceptance is key! Changing your attitude to one of more a positive outlook as we as finding things, activities, places you enjoy and that uplift your spirit. Doing what feels good and finding joy in all things. You may enjoy this very short video Break To Rebuild"
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one. How can I overcome this pain and learn to be happy alone?,"Is it possible that even though your illness is chronic, that it goes through phases in which you are more comfortable and that it requires less focus from you than at other times?I think the idea of having a lifelong illness is frustrating and can be depressing to think about. Thoughts are not necessarily the truth of what will actually happen though.Illness makes negative situations look worse so be sure you are concentrating on specific areas of your life and not just assuming they will work out badly because you are ill.One way to be happy alone is to love and appreciate, nurture and be kind to yourself.This frame of mind may generate new answers to find ways of being among other people too."
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one. How can I overcome this pain and learn to be happy alone?,"I'm so sorry you're feeling like things will never get better. Try to remember that whatever illness you are dealing with, you are not the only person to have dealt with it and you are not alone! Out there, just waiting for you, is a group of people that will totally understand what you're going through and will be able to share how they coped. Try searching for a support group for your illness - google and  are both good places to start for those groups."
"I feel angry, anxious, and depressed. The PTSD I suffer is from a past relationship.","I second the suggestion to find a therapist who is trained in Cognitive Processing Therapy CPT!I'll also add that all you describe is very common in PTSD. Emotionally, it's an exhausting condition and can take a lot of energy from the body. Depression is a common consequence of PTSD since many people experience functional repercussions impacts in work, social, and familial settings. It's not fun to feel constantly terrified. To search for a therapist trained in what you are dealing with, it could be helpful to specifically search for folks who specialize in treating PTSD. You can do that through Google searches, or you can also head over to Psychology Today and Therapy Den. Both sites are therapist directories where you can narrow down the type of therapist you are looking for, as well as other factors like insurance they accept and location.You are on the right track coming here so keep up the search!"
"I feel angry, anxious, and depressed. The PTSD I suffer is from a past relationship.","If the symptoms are to the extent that they are affecting your ability to function, you may want to consider seeking treatment. PTSD, anxiety, and depression all typically respond well to treatment if provided by a trained clinician. Common types of treatment for PTSD that you may want to look into include Cognitive Processing Therapy or EMDR. The nice things about Cognitive Processing Therapy is that it is time limited and only lasts 17 sessions typically."
"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. Could this be depression? I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though.","What matters most is how you feel and what you're doing, with whom you're interacting, whether you feel you've got enough interaction to be happy.Whether or not a clinician would decide to identify you as ""depressed"" matters much less than how you actually are feeling, if you have some ideas as to what might improve your sense of being, and how to go about reaching your goals.If therapy during your childhood made you feel better and you feel you may be depressed, then trying therapy at this point in your life, makes sense.The worst that can happen is you find you feel better than you first understood.The best that can happen is you find a caring therapist who helps you find faith in yourself again."
"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help.",I am sending your loving vibes as you weather this time when you are trying to find new friends. I want to share a video about this very concern. How To Make Friends As An Adult
"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help.","Definitely it is sad to lose friends who are a regular part of daily life.How did you meet the two friends who just moved away? Its possible that you could look for similar situations and see if anyone catches your interest to know as a friend.Keeping in mind that friendship is based on trust and common interests, and that these qualities require time to observe and develop, think of what you can do to keep happy while these paths unfold.In addition to being open to meeting new friends, involve yourself in projects from which you'll feel satisfied by your own results."
I feel lazy and numb. I have no interest in things.,"The feeling empty could stem from various factors. Perhaps asking yourself what would help you feel full, what fills your cup, what does that mean to you for you? When were you last feeling fulfilled? What brings or has brought you joy? Have you read about, or researched what is called Dysphoria."
I feel lazy and numb. I have no interest in things.,"Maybe right now it is time for you to rest before the next wave of new activity comes along.To have ""no interest"" may mean you are already so saturated with recent situations and their meaning that you are naturally withdrawing in order to regain your energy."
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","Why do I feel empty?Feelings of emptinessa lack of meaning or purposeare experienced by most people at some point in life. However, chronic feelings of emptiness, feelings of emotional numbness or despair, and similar experiences may be symptomatic of other mental health concerns, such as depression, anhedonia, or schizophreniaLIke I say seek to get a check up physically and mentally to see if there are any medical under lining issues."
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","The feeling empty could stem from various factors. Perhaps asking yourself what would helps you feel full, what fills your cup, what does that mean to you for you? When were you last feeling fulfilled? What brings or has brought you joy? Have you read about, or researched what is called Dysphoria."
